Fecha;Día;Mes;Año;Accion;Desc.1;Desc.2;Talla;cantidad;Motivo;INVENTARIO;Val. Unitario;Subtotal
01/06/2026;;;;INGRESO MERCANCIA;gimnasio vallegrande;camiseta dama externa;S;1;CAMBIO DE TALLA;1.0;53000.0;53000.0
01/06/2026;;;;INGRESO MERCANCIA;gimnasio vallegrande;bombacho dama;S;1;CAMBIO DE TALLA;1.0;63000.0;63000.0
01/06/2026;;;;SALIDA MERCANCIA;gimnasio vallegrande;bombacho dama;16;1;CAMBIO DE TALLA;-1.0;56000.0;-56000.0
01/06/2026;;;;SALIDA MERCANCIA;nuestra señora del carmen;guayabera;M;3;ENTREGA DE PRODUCTO;-1.0;70000.0;-210000.0
02/06/2026;;;;INGRESO MERCANCIA;conalco;bombacho;6;1;CAMBIO DE TALLA;1.0;58000.0;58000.0
02/06/2026;;;;SALIDA MERCANCIA;conalco;bombacho;8;1;CAMBIO DE TALLA;-1.0;58000.0;-58000.0
03/06/2026;;;;SALIDA MERCANCIA;conalco;blusa;16;1;ENTREGA DE PRODUCTO;-1.0;49000.0;-49000.0
03/06/2026;;;;SALIDA MERCANCIA;conalco;blusa;16;1;CAMBIO DE TALLA;-1.0;49000.0;-49000.0
03/06/2026;;;;INGRESO MERCANCIA;conalco;blusa;14;1;CAMBIO DE TALLA;1.0;49000.0;49000.0
03/06/2026;;;;SALIDA MERCANCIA;conalco;camiseta fisica;14;1;CAMBIO DE TALLA;-1.0;54000.0;-54000.0
03/06/2026;;;;INGRESO MERCANCIA;conalco;camiseta fisica;6;1;CAMBIO DE TALLA;1.0;51000.0;51000.0
04/06/2026;;;;INGRESO MERCANCIA;la inmaculada;blusa;S;1;CAMBIO DE TALLA;1.0;45000.0;45000.0
04/06/2026;;;;INGRESO MERCANCIA;la inmaculada;camiseta fisica;S;1;CAMBIO DE TALLA;1.0;45000.0;45000.0
04/06/2026;;;;INGRESO MERCANCIA;la inmaculada;bombacho;M;1;CAMBIO DE TALLA;1.0;60000.0;60000.0
04/06/2026;;;;SALIDA MERCANCIA;la inmaculada;blusa;M;1;CAMBIO DE TALLA;-1.0;45000.0;-45000.0
04/06/2026;;;;SALIDA MERCANCIA;la inmaculada;camiseta fisica;M;1;CAMBIO DE TALLA;-1.0;45000.0;-45000.0
04/06/2026;;;;SALIDA MERCANCIA;la inmaculada;bombacho;L;1;CAMBIO DE TALLA;-1.0;60000.0;-60000.0
04/06/2026;;;;SALIDA MERCANCIA;la inmaculada;bombacho;S;2;ENTREGA DE PRODUCTO;-1.0;60000.0;-120000.0
04/06/2026;;;;INGRESO MERCANCIA;gimnasio vallegrande;camiseta de diario;10;1;CAMBIO DE TALLA;1.0;49000.0;49000.0
04/06/2026;;;;INGRESO MERCANCIA;Pantalones Azules;intermedio;10;1;CAMBIO DE TALLA;1.0;62000.0;62000.0
04/06/2026;;;;SALIDA MERCANCIA;gimnasio vallegrande;camiseta de diario;12;1;CAMBIO DE TALLA;-1.0;49000.0;-49000.0
04/06/2026;;;;SALIDA MERCANCIA;Pantalones Azules;intermedio;12;1;CAMBIO DE TALLA;-1.0;62000.0;-62000.0
04/06/2026;;;;INGRESO MERCANCIA;liceo universitario;guayabera;16;1;CAMBIO POR OTRO PRODUCTO;1.0;60000.0;60000.0
04/06/2026;;;;SALIDA MERCANCIA;liceo universitario;camiseta fisica;S;1;CAMBIO POR OTRO PRODUCTO;-1.0;51000.0;-51000.0
04/06/2026;;;;SALIDA MERCANCIA;conalco;bombacho;L;1;CAMBIO DE TALLA;-1.0;69000.0;-69000.0
04/06/2026;;;;INGRESO MERCANCIA;conalco;bombacho;XL;1;CAMBIO DE TALLA;1.0;69000.0;69000.0
04/06/2026;;;;INGRESO MERCANCIA;colsafa;guayabera;6;1;CAMBIO DE TALLA;1.0;49000.0;49000.0
04/06/2026;;;;SALIDA MERCANCIA;colsafa;guayabera;10;1;CAMBIO DE TALLA;-1.0;53000.0;-53000.0
04/06/2026;;;;INGRESO MERCANCIA;la inmaculada;bombacho;S;1;CAMBIO DE TALLA;1.0;60000.0;60000.0
04/06/2026;;;;INGRESO MERCANCIA;la inmaculada;camiseta fisica;S;1;CAMBIO DE TALLA;1.0;45000.0;45000.0
04/06/2026;;;;SALIDA MERCANCIA;la inmaculada;bombacho;M;1;CAMBIO DE TALLA;-1.0;60000.0;-60000.0
04/06/2026;;;;SALIDA MERCANCIA;la inmaculada;camiseta fisica;L;1;CAMBIO DE TALLA;-1.0;53000.0;-53000.0
09/06/2026;;;;INGRESO MERCANCIA;conalco;pantalon;32;1;CAMBIO DE TALLA;1.0;81000.0;81000.0
09/06/2026;;;;SALIDA MERCANCIA;conalco;pantalon;34;1;CAMBIO DE TALLA;-1.0;86000.0;-86000.0
09/06/2026;;;;INGRESO MERCANCIA;conalco;bombacho;XL;1;CAMBIO DE TALLA;1.0;69000.0;69000.0
09/06/2026;;;;SALIDA MERCANCIA;conalco;bombacho;L;1;CAMBIO DE TALLA;-1.0;69000.0;-69000.0
10/06/2026;;;;INGRESO MERCANCIA;colsafa;guayabera;S;1;CAMBIO DE TALLA;1.0;59000.0;59000.0
10/06/2026;;;;SALIDA MERCANCIA;colsafa;guayabera;M;1;CAMBIO DE TALLA;-1.0;59000.0;-59000.0
;;;;INGRESA;liceo pupo jimenez;blusa;2;1;CAMBIO DE TALLA;;37000.0;37000.0
;;;;SALE;liceo pupo jimenez;blusa;4;1;CAMBIO DE TALLA;;37000.0;37000.0
16/06/2026;16.0;6.0;2026.0;INGRESA;liceo pupo jimenez;blusa;2;1;ENTREGA DE PRODUCTO;;37000.0;37000.0
16/06/2026;16.0;6.0;2026.0;SALE;liceo pupo jimenez;blusa;4;1;ENTREGA DE PRODUCTO;;37000.0;37000.0
16/06/2026;16.0;6.0;2026.0;INGRESA;liceo pupo jimenez;blusa;2;1;ENTREGA DE PRODUCTO;;37000.0;37000.0
16/06/2026;16.0;6.0;2026.0;SALE;liceo pupo jimenez;blusa;2;1;ENTREGA DE PRODUCTO;;37000.0;37000.0
