Fecha;año;mes;día;Tipo de Egreso;Nota-Observacion; Valor ;Grupo 1;Quien paga;De donde Paga;Actuals / FCST
13/05/2026;2026;5;13;Energía taller;periodo 26-05; $1.293.700 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
13/04/2026;2026;4;13;Energía taller;periodo 26-04; $1.225.890 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;BANCOLOMBIA;ACT
13/03/2026;2026;3;13;Energía taller;periodo 26-03; $1.095.120 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;BANCOLOMBIA;ACT
13/02/2026;2026;2;13;Energía taller;periodo 26-02; $1.043.170 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;BANCOLOMBIA;ACT
13/01/2026;2026;1;13;Energía taller;periodo 26-01; $1.165.920 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;BANCOLOMBIA;ACT
28/04/2026;2026;4;28;Tela;pago Alfonso EME; $3.237.300 ;COSTOS DIRECTOS;Juan;BANCOLOMBIA;ACT
23/04/2026;2026;4;23;Botones;pago Cacharrería BONBAY; $758.157 ;COSTOS DIRECTOS;Juan;BANCOLOMBIA;ACT
21/04/2026;2026;4;21;GASTOS CASA/PERSONALES;Centro diabetologico SAS; $110.000 ;GASTOS CASA/PERSONALES;Juan;BANCOLOMBIA;ACT
15/05/2026;2026;5;15;Internet taller;pago Internet hogar taller; $150.164 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;BANCOLOMBIA;ACT
13/04/2026;2026;4;13;Tela;Pago la Fayette; $1.771.341 ;COSTOS DIRECTOS;Clelia;BANCO BOGOTA;ACT
30/03/2026;2026;3;30;Tela;pago a TEJILAR; $1.948.000 ;COSTOS DIRECTOS;Clelia;BANCO BOGOTA;ACT
26/03/2026;2026;3;26;Tela;pago a TEJILAR; $4.463.323 ;COSTOS DIRECTOS;Clelia;BANCO BOGOTA;ACT
