Fecha;año;mes;día;Tipo de Egreso;Nota-Observacion; Valor ;Grupo 1;Quien paga;De donde Paga;Actuals / FCST
5/01/2026;2026;1;5;Agua taller;agua taller; $100.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
5/02/2026;2026;2;5;Agua taller;agua taller; $100.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
5/03/2026;2026;3;5;Agua taller;agua taller; $100.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
5/04/2026;2026;4;5;Agua taller;agua taller; $100.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
5/05/2026;2026;5;5;Agua taller;agua taller; $100.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
5/01/2026;2026;1;5;Energía almacen;recibo luz almacen; $200.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
5/02/2026;2026;2;5;Energía almacen;recibo luz almacen; $200.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
5/03/2026;2026;3;5;Energía almacen;recibo luz almacen; $200.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
5/04/2026;2026;4;5;Energía almacen;recibo luz almacen; $200.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
27/05/2026;2026;5;27;Energía almacen;recibo luz almacen; $150.230 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
6/01/2026;2026;1;6;Internet almacen;FCST; $70.693 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/01/2026;2026;1;5;Internet almacen;Pago internet almacen; $70.693 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;BBVA;ACT
5/02/2026;2026;2;5;Internet almacen;Pago internet almacen; $70.693 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;BBVA;ACT
5/03/2026;2026;3;5;Internet almacen;Pago internet almacen; $70.693 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;BBVA;ACT
5/01/2026;2026;1;5;Internet taller;pago Internet hogar taller; $150.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
5/02/2026;2026;2;5;Internet taller;pago Internet hogar taller; $150.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
5/03/2026;2026;3;5;Internet taller;pago Internet hogar taller; $150.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
12/06/2026;2026;6;12;Funeraria los olivos;FCST; $60.000 ;GASTOS NO OPERACIONALES;Juan;EFECTIVO;ACT
12/04/2026;2026;4;12;Funeraria los olivos;pago funeraria los olivos; $60.000 ;GASTOS NO OPERACIONALES;Juan;EFECTIVO;ACT
12/03/2026;2026;3;12;Funeraria los olivos;pago funeraria los olivos; $60.000 ;GASTOS NO OPERACIONALES;Juan;EFECTIVO;ACT
12/02/2026;2026;2;12;Funeraria los olivos;pago funeraria los olivos; $60.000 ;GASTOS NO OPERACIONALES;Juan;EFECTIVO;ACT
12/01/2026;2026;1;12;Funeraria los olivos;pago funeraria los olivos; $60.000 ;GASTOS NO OPERACIONALES;Juan;EFECTIVO;ACT
1/01/2026;2026;1;1;Nómina AUXILIAR ventas;cintya; $850.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
15/01/2026;2026;1;15;Nómina AUXILIAR ventas;cintya; $850.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
1/02/2026;2026;2;1;Nómina AUXILIAR ventas;cintya; $850.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
15/02/2026;2026;2;15;Nómina AUXILIAR ventas;cintya; $850.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
19/01/2026;2026;1;19;Tela;baratillo medellin; $4.720.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
19/01/2026;2026;1;19;Tela;Kilo telas; $4.800.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
1/01/2026;2026;1;1;Nómina AUXILIAR ventas;Luisa; $850.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
15/01/2026;2026;1;15;Nómina AUXILIAR ventas;Luisa; $850.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
1/02/2026;2026;2;1;Nómina AUXILIAR ventas;Luisa; $850.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
15/02/2026;2026;2;15;Nómina AUXILIAR ventas;Luisa; $850.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
1/03/2026;2026;3;1;Nómina AUXILIAR ventas;Luisa; $850.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
15/03/2026;2026;3;15;Nómina AUXILIAR ventas;Luisa; $850.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
1/04/2206;2206;4;1;Nómina AUXILIAR ventas;Luisa; $850.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
4/02/2026;2026;2;4;Tela;baratillo medellin; $1.245.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
15/01/2026;2026;1;15;Refrigerios y bienestar comercial;fritos; $100.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
1/02/2026;2026;2;1;Refrigerios y bienestar comercial;fritos; $100.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
15/02/2026;2026;2;15;Refrigerios y bienestar comercial;fritos; $100.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
