fecha;dia;mes;año;hora;colegio;PRODUCTO;TALLA;VALOR;Cantidad;Subtotal;ID_BUSQUEDA
jueves, 18 de junio de 2026;18;6;2026;14:05:15;liceo pupo jimenez;blusa;2;37000.0;1;37000.0;liceo pupo jimenez_blusa_2
jueves, 18 de junio de 2026;18;6;2026;14:11:45;liceo pupo jimenez;blusa;2;37000.0;1;37000.0;liceo pupo jimenez_blusa_2
